count,male,female,young,old,short,medium,tall,thin,normal,fat,bmi_l,bmi_n,bmi_h,grf_l,grf_n,grf_h,sen_l,sen_n,sen_h,pre_l,pre_n,pre_h,env_l,env_n,env_h,date,time,ta,hr,season,va,height_avg,weight_avg,bmi_avg,griffith_avg,tsv
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,10:30:00,22.32714285714286,17.24285714285714,1,0.36899400168116103,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,11:00:00,24.3,16.04285714285714,1,0.8792806491292346,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,11:30:00,25.42714285714286,16.285714285714285,1,1.0995181097330646,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,12:00:00,24.821428571428573,16.342857142857145,1,0.9624518686376746,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,14:30:00,24.798571428571428,14.742857142857144,1,0.4597296874099927,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,2
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,15:00:00,25.625714285714285,16.27142857142857,1,0.8998659580534117,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,2
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,15:30:00,25.29857142857143,17.228571428571428,1,0.40530510890111626,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,16:00:00,25.085714285714285,17.814285714285713,1,1.1366009521474914,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,16:30:00,24.54428571428571,17.82857142857143,1,0.3887121036736288,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,17:00:00,24.9,18.25714285714286,1,1.1374306125572498,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,17:30:00,25.428571428571427,18.557142857142857,1,0.3297032315164974,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
